STATE NAME,DISTRICT NAME,PROJECT NAME,awc_count,total_active_0_6,total_measured_0_6,avg_efficiency_pct,suw_mean,sam_mean,mam_mean,meas_gt_active_count,eff_out_of_range_count,weighted_efficiency_pct,<60,60-80,80-95,95-<100,100,coverage_gap,awc_below_80,awc_below_95,operational_priority_score,coverage_gap_pct,awc_below_80_pct,awc_below_95_pct
Odisha,Angul,Talcher,237,11633,11608,99.80092827004219,0.4739240506329114,0.21265822784810126,0.821139240506329,0,0,99.7850941287716,0.0,0.0,2.0,14.0,221.0,25,0.0,2.0,5.293938638842432,0.21490587122840196,0.0,0.8438818565400843
Odisha,Angul,Kaniha,176,9802,9792,99.87079545454544,0.6352840909090909,0.6640909090909091,1.604715909090909,0,0,99.8979800040808,0.0,0.0,1.0,8.0,167.0,10,0.0,1.0,3.351009070505092,0.10201999591920018,0.0,0.5681818181818182
Odisha,Angul,Chhendipada,191,12621,12614,99.93842931937174,0.8707329842931937,0.7876439790575916,1.9732984293193716,0,0,99.94453688297283,0.0,0.0,0.0,7.0,184.0,7,0.0,0.0,0.27731558513588467,0.055463117027176934,0.0,0.0
Odisha,Angul,Pallahara,203,10312,10310,99.97600985221675,2.31871921182266,0.48724137931034484,1.5836453201970444,0,0,99.98060512024826,0.0,0.0,0.0,2.0,201.0,2,0.0,0.0,0.09697439875872768,0.019394879751745538,0.0,0.0
Odisha,Angul,Banarapal,224,15540,15538,99.9865625,0.3565625,0.5189285714285714,1.1051339285714286,0,0,99.98712998712999,0.0,0.0,0.0,2.0,222.0,2,0.0,0.0,0.06435006435006435,0.01287001287001287,0.0,0.0
Odisha,Balangir,Puintala,201,7397,7382,99.65427860696516,3.996616915422886,0.317363184079602,3.044676616915423,0,0,99.79721508719751,1.0,1.0,0.0,2.0,197.0,15,2.0,2.0,25.889546454559703,0.2027849128024875,0.9950248756218906,0.9950248756218906
Odisha,Balangir,Deogaon,205,6319,6316,99.94653658536586,1.5841463414634147,0.5060487804878049,2.5845853658536586,0,0,99.95252413356543,0.0,0.0,0.0,3.0,202.0,3,0.0,0.0,0.23737933217281212,0.047475866434562426,0.0,0.0
Odisha,Balangir,Khaprakhol,183,8356,8353,99.97180327868853,3.629344262295082,0.17540983606557378,1.6425136612021858,0,0,99.9640976543801,0.0,0.0,0.0,2.0,181.0,3,0.0,0.0,0.17951172809956917,0.03590234561991383,0.0,0.0
Odisha,Balangir,Belpara,192,11271,11268,99.97947916666668,2.3215625,0.2536979166666667,2.610572916666667,0,0,99.97338301836571,0.0,0.0,0.0,3.0,189.0,3,0.0,0.0,0.13308490817141336,0.026616981634282673,0.0,0.0
Odisha,Balangir,Gudvela,120,4317,4316,99.96666666666667,2.6856666666666666,0.5364166666666667,2.9665000000000004,0,0,99.97683576557795,0.0,0.0,0.0,1.0,119.0,1,0.0,0.0,0.11582117211026174,0.02316423442205235,0.0,0.0
Odisha,Balasore,Nilagiri,389,9996,9989,99.93419023136248,3.11426735218509,1.9893316195372752,4.828637532133676,0,0,99.92997198879551,0.0,0.0,2.0,3.0,384.0,7,0.0,2.0,2.9208341434260077,0.0700280112044818,0.0,0.5141388174807198
Odisha,Balasore,Khaira,348,11229,11220,99.94566091954022,1.826522988505747,1.0995689655172414,3.4972988505747127,0,0,99.9198503873898,0.0,0.0,1.0,3.0,344.0,9,0.0,1.0,1.8375296722464307,0.08014961261020571,0.0,0.28735632183908044
Odisha,Balasore,Soro,329,10946,10944,99.97671732522795,1.159756838905775,0.3539209726443769,1.233161094224924,0,0,99.98172848529143,0.0,0.0,1.0,1.0,327.0,2,0.0,1.0,1.6111144124486216,0.01827151470856934,0.0,0.303951367781155
Odisha,Balasore,Bhograi,371,11512,11507,99.96652291105121,1.790134770889488,1.0585983827493262,3.639191374663073,0,0,99.95656706045865,0.0,0.0,1.0,4.0,366.0,5,0.0,1.0,1.5648735925854471,0.04343293954134816,0.0,0.2695417789757413
